Issue No,Isin Code,Traded Yield (%),Clean Price,Total Values Traded (Ksh),Year Bonds,date
FXD1/2018/5Yr,KE5000008218,10.0,100.7695,120000000.0,FIVE YEAR BONDS,2022-11-08
FXD1/2019/5Yr,KE5000009547,0.0,0.0,0.0,FIVE YEAR BONDS,2022-11-08
FXD2/2019/5Yr,KE6000001096,0.0,0.0,0.0,FIVE YEAR BONDS,2022-11-08
FXD3/2019/5Yr,KE6000005766,0.0,0.0,0.0,FIVE YEAR BONDS,2022-11-08
FXD1/2020/5Yr,KE6000008547,0.0,0.0,0.0,FIVE YEAR BONDS,2022-11-08
FXD1/2021/5Yr,KE7000006655,0.0,0.0,0.0,FIVE YEAR BONDS,2022-11-08
FXD1/2013/10Yr,KE2000006037,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD1/2014/10Yr,KE3000008890,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD1/2016/10Yr,KE5000006329,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD1/2017/10Yr,KE5000007327,13.5609,97.9263,300000000.0,TEN YEAR BONDS,2022-11-08
FXD1/2018/10Yr,KE5000008762,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD2/2018/10Yr,KE5000009216,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD1/2019/10Yr,KE5000009653,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD2/2019/10Yr,KE5000009877,13.7586,93.8833,510000000.0,TEN YEAR BONDS,2022-11-08
FXD2/2019/10Yr,KE5000009877,13.65,94.3196,300000000.0,TEN YEAR BONDS,2022-11-08
FXD3/2019/10Yr,KE6000004876,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD4/2019/10Yr,KE6000005659,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD1/2022/10Yr,KE7000009436,0.0,0.0,0.0,TEN YEAR BONDS,2022-11-08
FXD3/2007/15Yr,KE1000001360,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2008/15Yr,KE1000001428,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2009/15Yr,KE4000003436,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2010/15Yr,KE4000003550,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD2/2010/15Yr,KE2000001558,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2012/15Yr,KE4000003675,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2013/15Yr,KE4000003790,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD2/2013/15Yr,KE4000003808,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2018/15Yr,KE5000008432,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD2/2018/15Yr,KE5000008879,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
FXD1/2019/15Yr,KE5000009430,0.0,0.0,0.0,FIFTEEN YEAR BONDS,2022-11-08
