id,company,isincode,volume,lasttradedprice,change,sector,date
880,Kapchorua Tea Co. Ltd Ord Ord 5.00,KE4000001760,200,102.0,0.0,AGRICULTURAL,2022-12-21
942,New Gold Issuer (RP) Ltd,ZAE000060067,0,2165.0,0.0,ETF,2022-12-21
941,Fahari I-REIT,KE5000003656,6200,6.3,0.64,REAL ESTATE,2022-12-21
940,Safaricom Ltd Ord 0.05,KE1000001402,2791700,24.75,-0.2,TELECOMMUNICATION,2022-12-21
939,Flame Tree Group Holdings Ltd Ord 0.825,KE4000001323,2700,1.12,1.82,MANUFACTURING,2022-12-21
938,B.O.C Kenya Ltd Ord 5.00,KE0000000042,0,70.75,0.0,MANUFACTURING,2022-12-21
937,Mumias Sugar Co. Ltd Ord 2.00,KE0000000372,0,0.27,0.0,MANUFACTURING,2022-12-21
936,Carbacid Investments Ltd Ord 5.00,KE0000000117,405100,12.4,-0.8,MANUFACTURING,2022-12-21
935,British American Tobacco Kenya Ltd Ord 10.00,KE0000000075,1400,456.5,-0.27,MANUFACTURING,2022-12-21
934,East African Breweries PLC Ord 2.00,KE0000000216,443200,165.25,0.0,MANUFACTURING,2022-12-21
933,Unga Group Plc Ord 5.00,KE0000000497,400,32.0,0.0,MANUFACTURING,2022-12-21
932,Kenya Orchards Ltd Ord 5.00,KE0000000331,0,10.4,0.0,MANUFACTURING,2022-12-21
931,Nairobi Securities Exchange 4.00,KE3000009674,16500,6.78,-0.59,INVESTMENT SERVICES,2022-12-21
930,Home Afrika Ltd Ord 1.00,KE2000007258,1700,0.35,0.0,INVESTMENT,2022-12-21
929,Olympia Capital Holdings ltd Ord 5.00,KE0000000166,20300,2.8,0.0,INVESTMENT,2022-12-21
928,Trans-Century Ltd Ord 0.50,KE2000002184,73600,0.88,2.33,INVESTMENT,2022-12-21
927,Kurwitu Ventures,KE4000001216,0,1500.0,0.0,INVESTMENT,2022-12-21
926,Centum Investment Co Ltd Ord 0.50,KE0000000265,20100,8.06,0.5,INVESTMENT,2022-12-21
925,British-American Investments Ord 0.10,KE2000002192,4100,5.14,3.42,INSURANCE,2022-12-21
924,Liberty Insurance,KE2000002168,2000,5.66,-0.35,INSURANCE,2022-12-21
923,Sanlam Insurance Holdings Ltd 0rd 5.00,KE0000000414,700,9.68,0.83,INSURANCE,2022-12-21
922,CIC Insurance Group Plc Ord 1.00,KE2000002317,18100,1.89,2.16,INSURANCE,2022-12-21
921,Kenya Re-Insurance Corporation Ltd Ord 2.50,KE0000000604,43700,1.85,-0.54,INSURANCE,2022-12-21
